1408,8,3,8
20mil leguas,3,8,9
Actividad Paranormal,9,5,8
Alcatraz,7,5,4
Apocalipsis Zombie,8,4,6
Area 51,6,6,7
Asesino Serial,8,5,7
Atrapados en el Refugio,5,9,10
Baño de Sangre,9,3,7
Cabaret,4,4,5
Casa Abandonada Zombie,7,3,6
Chernobil: el ultimo reactor,2,6,6
Conspiracion,3,3,10
Criaturas de la noche,7,4,8
Crimen en el tiempo,2,6,9
Day Care,4,4,6
Death Note,3,5,9
Defcon Soviet,1,8,6
Despacho Presidencial,2,7,4
El Caso Lancaster,4,6,8
El Castillo del conde Dracula,8,5,9
El Circo de los muertos,9,6,9
El Conjuro,9,6,8
El Cuarto,5,6,5
El Engaño,3,5,5
El estafador,3,5,7
El Faraon y el Cetro de Uas,3,7,6
El Gran Golpe,2,6,5
El incunable perdido,4,6,6
El Laboratorio,3,5,6
El Laboratorio de Walt,4,6,7
El laboratorio del Dr Boreiro,2,7,5
El living de la familia S,3,8,6
El Mundo de las Maravillas,2,9,7
El narco mas buscado,4,7,7
El Otro Lado,7,7,8
El Plan Perfecto,3,6,8
El Profesor,3,4,7
El Psiquiatra,6,4,9
El Refugio de Montaña,8,8,7
El Refugio de Montaña - Bariloche,8,8,7
El Robo del Siglo,3,5,5
El Secreto de los Templarios,3,9,2
El Sotano de Anabelle,9,4,8
El templo perdido,3,7,8
El tesoro de la biblioteca,5,6,7
Embajada de Krokovia,3,6,6
En Busca del Santo Grial,4,6,8
Encuentro paranormal,8,5,7
Enigma,3,3,6
Escape en el tiempo,4,5,6
Escape from the Werewolf Village,7,3,5
Experiencia Da Vinci,2,7,7
Expreso Oriente,4,6,7
Extraños Sucesos,7,5,9
Fausto,5,5,6
Granero,10,2,4
Hospital Macabro,8,3,7
Hospital psiquiatrico,7,3,8
Hospital psiquiatrico -Mendoza,7,3,6
Infiltrados en la Casa Blanca,3,10,7
La Biblioteca de Nebirus,8,8,9
La Casa de al lado,6,6,2
La casa del pirata,4,6,5
La casa del terror,6,4,8
La Casa Embrujada,8,3,3
La guarida del asesino,7,4,8
La guarida del asesino - Rosario,7,4,8
La Guarida del Hacker,2,8,10
La Habitacion de Andy,1,9,8
La Herencia del tio Luis,3,7,7
La leyenda de Barba Negra,6,8,6
La Oficina del Banquero,4,6,9
La oficina del detective Spenser,3,6,5
La Oficina del Sr Burns,6,6,5
La Orden Secreta,7,8,7
La pitonisa,6,6,8
La Planta Nuclear,5,5,8
La Purga,9,8,9
La tercera guerra mundial,5,6,3
La Tumba del Faraon,3,7,8
Laboratorio Z,3,8,6
Maldita Fuga,3,5,9
Mensaje por error,2,9,8
Mi Pobre Angelito - Bariloche,3,5,6
Misterio en el museo,4,7,7
Naufragio,2,8,6
Necronomicon,8,3,8
Niebla sobre Londres,8,8,9
Odisea Espacial,6,6,7
Operacion James Bond,2,10,9
Orfanato Abandonado,9,3,6
Pecados Capiales,4,4,7
Poltergeist,9,3,9
Priosionero de Guerra,5,7,5
Prisioneros de la torre,3,10,1
Prison Break - Bariloche,5,5,7
Proyecto Blair Witch,7,4,8
Psicoloco,5,5,3
Purgatorio,8,2,8
Que Paso Ayer?,3,7,6
Que Paso Ayer? - Bariloche,3,7,6
Que Paso Ayer? - Salta,3,7,6
Rey Negro,4,4,10
Robo a la oficina,3,3,6
Robo al Banco,4,4,4
Robo al Banco - Bariloche,4,4,6
Robo del museo,5,6,8
Rouge,2,1,2
Sala de los Menesteres,2,8,6
Salvemos a Springfield,3,9,3
SAW: El Juego del Miedo,9,4,6
The Exam,1,1,10
The Mummy Escape Game,4,4,4
Uranio-235,3,5,6
Venganza,2,2,8
Welcome to Las Vegas,5,6,8